production_id	level	text_id	sentence_id	paragraph	sentence_text
1	ORI	41	702	1	O ano era 1978. 
1	ORI	41	703	1	As salas de cinema de todo o mundo exibiam uma produção do diretor Joe Dante em que um cardume de piranhas escapava de um laboratório militar e atacava participantes de um festival aquático. 
1	ORI	41	704	2	Quase 30 anos depois, banhistas assustados estão se afastando do principal balneário de Uruguaiana, na Fronteira Oeste. 
1	ORI	41	705	2	Mais de 20 pessoas foram mordidas por palometas (Serrasalmus spilopleura, espécie de piranha) que vivem nas águas da barragem Sanchuri, na margem da Br-472, a 40 quilômetros da cidade. 
1	ORI	41	706	3	-- Os ataques se tornaram mais freqüentes. 
1	ORI	41	707	3	Por isso, aconselhamos mais cautela -- diz o subprefeito Nei Pinto. 
1	ORI	41	708	3	As mordidas em pés e canelas de banhistas não são novidade. 
1	ORI	41	709	3	O que chamou a atenção das autoridades foi o aumento no número de ataques em relação aos outros anos. 
1	ORI	41	710	4	-- Um amigo meu ficou sem a ponta de um dedo -- conta o adolescente Lindomar Menezes, 15 anos. 
1	ORI	41	711	5	Ele e amigos, como Giovane Silva Ferreira, 13 anos, passam as tardes pescando o peixe, depois levado para uma associação de artesãos que faz o curtimento da pele do animal. 
1	ORI	41	712	6	Com o fim da piracema, período em que a pesca é proibida, será realizado no domingo o torneio Combate à Palometa. 
1	ORI	41	713	6	Pescadores tentarão retirar o maior número de peixes da espécie, que pode atingir 20 centímetros de comprimento e um quilo. 
1	ORI	41	714	6	O evento ainda não tem autorização do Instituto Brasileiro do Meio Ambiente e Recursos Naturais Renováveis. 
1	ORI	41	715	6	Segundo o chefe substituto do escritório regional, Guaracy Cunha, ainda há tempo para o pedido de licença. 
1	ORI	41	716	7	-- Elas atacam mais nos locais em que o pessoal das excursões lava mãos e pratos após as refeições -- diz Adalberto Silva, presidente da associação dos moradores da localidade. 
1	ORI	41	717	8	Silva adquiriu uma tela de retenção com 150 metros, que deve ser instalada para isolar o trecho da barragem mais usado pelos banhistas, com 3,7 mil hectares de área. 
1	NAT	42	718	1	O ano era 1978. 
1	NAT	42	719	1	As salas de cinema de todo o mundo exibiam uma produção do diretor Joe Dante. 
1	NAT	42	720	1	Na produção do diretor Joe Dante, um cardume de piranhas escapava de um laboratório militar e atacava participantes de um festival aquático. 
