production_id	level	text_id_from	sentence_id_from	text_id_to	sentence_id_to
1	ORI->NAT	41	702	42	718
1	ORI->NAT	41	703	42	719
1	ORI->NAT	41	703	42	720
1	ORI->NAT	41	704	42	721
1	ORI->NAT	41	705	42	722
1	ORI->NAT	41	705	42	723
1	ORI->NAT	41	706	42	724
1	ORI->NAT	41	707	42	725
1	ORI->NAT	41	708	42	726
1	ORI->NAT	41	709	42	727
1	ORI->NAT	41	710	42	728
1	ORI->NAT	41	711	42	729
1	ORI->NAT	41	711	42	730
1	ORI->NAT	41	711	42	731
1	ORI->NAT	41	712	42	732
1	ORI->NAT	41	712	42	733
1	ORI->NAT	41	713	42	734
1	ORI->NAT	41	713	42	735
1	ORI->NAT	41	714	42	736
1	ORI->NAT	41	715	42	737
1	ORI->NAT	41	715	42	738
1	ORI->NAT	41	716	42	739
1	ORI->NAT	41	716	42	740
1	ORI->NAT	41	717	42	741
1	ORI->NAT	41	717	42	742
1	ORI->NAT	41	717	42	743
1	NAT->STR	42	718	1064	21516
1	NAT->STR	42	719	1064	21517
1	NAT->STR	42	720	1064	21518
1	NAT->STR	42	720	1064	21519
1	NAT->STR	42	721	1064	21520
1	NAT->STR	42	721	1064	21521
1	NAT->STR	42	722	1064	21522
1	NAT->STR	42	723	1064	21523
1	NAT->STR	42	723	1064	21524
1	NAT->STR	42	723	1064	21525
1	NAT->STR	42	724	1064	21526
1	NAT->STR	42	725	1064	21527
1	NAT->STR	42	726	1064	21528
1	NAT->STR	42	727	1064	21529
1	NAT->STR	42	728	1064	21530
1	NAT->STR	42	728	1064	21531
1	NAT->STR	42	729	1064	21532
1	NAT->STR	42	730	1064	21533
1	NAT->STR	42	731	1064	21534
1	NAT->STR	42	732	1064	21535
1	NAT->STR	42	733	1064	21536
1	NAT->STR	42	734	1064	21537
1	NAT->STR	42	735	1064	21538
1	NAT->STR	42	736	1064	21539
1	NAT->STR	42	737	1064	21540
1	NAT->STR	42	738	1064	21541
1	NAT->STR	42	739	1064	21542
1	NAT->STR	42	740	1064	21543
1	NAT->STR	42	741	1064	21544
1	NAT->STR	42	742	1064	21545
1	NAT->STR	42	743	1064	21546
2	ORI->NAT	94	1584	105	1754
2	ORI->NAT	94	1585	105	1755
2	ORI->NAT	94	1585	105	1756
2	ORI->NAT	94	1586	105	1757
2	ORI->NAT	94	1586	105	1758
2	ORI->NAT	94	1586	105	1759
2	ORI->NAT	94	1587	105	1760
2	ORI->NAT	94	1588	105	1761
2	ORI->NAT	94	1588	105	1762
2	ORI->NAT	94	1588	105	1763
2	ORI->NAT	94	1589	105	1764
2	ORI->NAT	94	1589	105	1765
2	ORI->NAT	94	1590	105	1766
2	ORI->NAT	94	1591	105	1767
2	ORI->NAT	94	1592	105	1768
